1 18 35.2 -6.36 4.94
2 18 35.2 -6.36 8.94
3 18 35.2 -6.36 9.94
4 13 36 -1.8 4
5 14 35.2 3 7.1
6 14.7 35.2 7.6 9.3
7 15 24 -3.6 7
8 15.2 35.2 7.2 6.3
9 15.9 35.2 5.1 6.7
10 16 32 -5.4 8.2
11 16.4 35.2 -2.3 4.3
12 16.4 35.2 2.3 4.3
13 17.4 35.2 -4.9 8.5
14 17.4 35.2 4.9 8.5
15 18 23.9 -5.1 6.7
16 18 24 -5.4 6.4
17 18 24 -5.4 7
18 18 25.5 -2.3 4.3
19 18 27.6 -6.3 5.3
20 18 28.6 -5.9 7.8
21 18 34 -8.1 8.8
22 18 34 -8.1 9.4
23 18 34.7 -7.6 9.3
24 18 36 -8.1 8.8
25 18 36.5 -3 7.1
26 18 39.3 -4.2 9.4
27 18.1 35.2 5.9 7.8
28 18.6 35.2 3.2 4.8
29 19 32 -0.9 6.4
30 19.2 35.2 6.3 5.3
31 19.5 35.2 -4.2 9.4
32 19.5 35.2 4.2 9.4
